                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    173,                0.00806,                0.63333,                      1,                 1.1157,             0.00023051,             0.00023051,             0.00023051
                    174,                0.02028,                  0.575,                      1,                 1.1438,             0.00022768,             0.00022768,             0.00022768
                    175,                0.02036,                0.59167,                      1,                 1.1599,             0.00022485,             0.00022485,             0.00022485
                    176,                0.02352,                0.55833,                      1,                 1.1621,             0.00022203,             0.00022203,             0.00022203
                    177,                0.01183,                0.58333,                      1,                 1.1505,              0.0002192,              0.0002192,              0.0002192
                    178,                0.04571,                0.56667,                      1,                 1.1796,             0.00021637,             0.00021637,             0.00021637
                    179,                0.01912,                0.55833,                      1,                 1.1677,             0.00021354,             0.00021354,             0.00021354
                    180,                0.02057,                  0.525,                      1,                 1.1951,             0.00021072,             0.00021072,             0.00021072
                    181,                0.01616,                0.59167,                      1,                 1.1378,             0.00020789,             0.00020789,             0.00020789
                    182,                0.02833,                0.53333,                      1,                 1.1979,             0.00020506,             0.00020506,             0.00020506
                    183,                0.01528,                0.51667,                      1,                  1.178,             0.00020223,             0.00020223,             0.00020223
                    184,                0.02099,                   0.55,                      1,                 1.1691,             0.00019941,             0.00019941,             0.00019941
                    185,                0.00832,                  0.575,                      1,                 1.1565,             0.00019658,             0.00019658,             0.00019658
                    186,                0.01825,                   0.55,                      1,                 1.1536,             0.00019375,             0.00019375,             0.00019375
                    187,                 0.0161,                0.55833,                      1,                  1.153,             0.00019092,             0.00019092,             0.00019092
                    188,                0.00827,                0.63333,                      1,                 1.0986,              0.0001881,              0.0001881,              0.0001881
                    189,                0.00839,                0.64167,                      1,                 1.0914,             0.00018527,             0.00018527,             0.00018527
                    190,                0.01245,                0.61667,                      1,                 1.0975,             0.00018244,             0.00018244,             0.00018244
                    191,                0.01945,                    0.6,                      1,                  1.132,             0.00017961,             0.00017961,             0.00017961
                    192,                0.02429,                0.60833,                      1,                 1.1597,             0.00017679,             0.00017679,             0.00017679
                    193,                0.00407,                0.60833,                      1,                 1.1462,             0.00017396,             0.00017396,             0.00017396
                    194,                0.01211,                0.55833,                      1,                 1.1641,             0.00017113,             0.00017113,             0.00017113
                    195,                0.01371,                  0.575,                      1,                 1.1426,              0.0001683,              0.0001683,              0.0001683
                    196,                0.02153,                  0.575,                      1,                 1.1349,             0.00016548,             0.00016548,             0.00016548
                    197,                0.01881,                  0.575,                      1,                 1.1593,             0.00016265,             0.00016265,             0.00016265
                    198,                 0.0152,                0.56667,                      1,                 1.1559,             0.00015982,             0.00015982,             0.00015982
                    199,                 0.0104,                0.56667,                      1,                 1.1511,             0.00015699,             0.00015699,             0.00015699
                    200,                0.00551,                0.51667,                      1,                  1.183,             0.00015417,             0.00015417,             0.00015417
                    201,                0.01523,                0.55833,                      1,                 1.1458,             0.00015134,             0.00015134,             0.00015134
                    202,                0.00722,                  0.575,                      1,                 1.1273,             0.00014851,             0.00014851,             0.00014851
                    203,                0.01593,                0.64167,                      1,                 1.1149,             0.00014568,             0.00014568,             0.00014568
                    204,                 0.0067,                0.60833,                      1,                 1.1216,             0.00014286,             0.00014286,             0.00014286
                    205,                0.00768,                  0.625,                      1,                 1.1072,             0.00014003,             0.00014003,             0.00014003
                    206,                0.01955,                0.56667,                      1,                 1.1317,              0.0001372,              0.0001372,              0.0001372
                    207,                0.01005,                  0.575,                      1,                  1.129,             0.00013437,             0.00013437,             0.00013437
